Personnel,Formation,Family_or_System,Source,Notes,Analyst_Notes,Trips_Family,Trips_Contains_TE,Other_Used_Names,Personnel_Differences
0,Empty (3x2),Empty,Universal,"Pure 5-wide; QB alone, 3 receivers one side and 2 the other.",,,,,"In 0p: Pure 5-wide; QB alone, 3 receivers one side and 2 the other. Also used in 10p: 10p variant of 3x2 empty with RB out of backfield.."
0,Empty (4x1),Empty,Universal,"Pure 5-wide; QB alone, 4 receivers to one side, 1 iso opposite.",,,,,"In 0p: Pure 5-wide; QB alone, 4 receivers to one side, 1 iso opposite. Also used in 10p: 10p variant of 4x1 empty with RB out of backfield.."
10,Doubles / Ace (2x2),Spread,Universal,"2x2 single-back, 4 WR; core spread base.",,,,Doubles; Ace; Deuce,"In 10p: 2x2 single-back, 4 WR; core spread base. Also used in 11p: 2x2 with 3 WR and TE flexed or inline.."
10,Trips (3x1),Spread,Universal,"3x1 single-back, 4 WR.",,,,Trips; Trio,"In 10p: 3x1 single-back, 4 WR. Also used in 11p: 3x1 with 3 WR and TE inline or detached.."
10,Quads (4x1),Spread,Universal,"4 WR to one side, 1 WR iso opposite.",,,,Quads; 4x1,Only appears in 10 personnel in this dictionary.
10,Empty (3x2),Empty,Universal,10p variant of 3x2 empty with RB out of backfield.,,,,,"In 10p: 10p variant of 3x2 empty with RB out of backfield. Also used in 0p: Pure 5-wide; QB alone, 3 receivers one side and 2 the other.."
10,Empty (4x1),Empty,Universal,10p variant of 4x1 empty with RB out of backfield.,,,,,"In 10p: 10p variant of 4x1 empty with RB out of backfield. Also used in 0p: Pure 5-wide; QB alone, 4 receivers to one side, 1 iso opposite.."
10,Ace (Air Raid),Air Raid,Universal,2x2 one-back gun; base Air Raid set.,,,,Ace (Air Raid 2x2),In 10p: 2x2 one-back gun; base Air Raid set. Also used in 11p: 2x2 with Y potentially flexed; Air Raid flavor..
10,Early,Air Raid,Universal,Trips right one-back gun in Air Raid families.,,,,Trips Right (Air Raid),In 10p: Trips right one-back gun in Air Raid families. Also used in 11p: Trips right one-back with TE in mix..
10,Late,Air Raid,Universal,Trips left one-back gun in Air Raid families.,,,,Trips Left (Air Raid),In 10p: Trips left one-back gun in Air Raid families. Also used in 11p: Trips left one-back with TE in mix..
10,Red (Run & Shoot),Run & Shoot,Universal,4-WR R&S base; color name varies by coach.,,,,Red; Run & Shoot Red,Only appears in 10 personnel in this dictionary.
10,Blue (Run & Shoot),Run & Shoot,Universal,Alternate 4-WR R&S base.,,,,Blue; Run & Shoot Blue,Only appears in 10 personnel in this dictionary.
